Hotel Name,Location,County or Region,Country,Hotel Description,Price Range,Amenities,Hotel Category,Contact Information,Website URL,Source URL
Kivi Milimani Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Milimani Road, Nairobi",No website available,https://www.openstreetmap.org/way/247567722
New Hillcrest Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Waiyaki Way, Nairobi",No website available,https://www.openstreetmap.org/way/248896822
Upper Hill Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Upper Hill, Off matumbato Rd, Nairobi",http://nairobiupperhillhotel.com/,https://www.openstreetmap.org/way/259712388
Rosslyn View,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/263599205
The Boma Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/271393400
Hemingways Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Mbagathi Ridge, Nairobi",No website available,https://www.openstreetmap.org/way/288264460
The Sarova Stanley Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Kimathi Street, Nairobi",No website available,https://www.openstreetmap.org/way/290323492
67 Airport Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"P.O. Box 172, Nairobi",https://67airporthotel.co.ke/,https://www.openstreetmap.org/way/321573435
Jungle Junction,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/332160559
The Laibon Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/366571567
Esgray Hostels Westlands,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Westlands Road, Nairobi",No website available,https://www.openstreetmap.org/way/386595821
Pride Inn Gardens,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"24, Westlands Road, Nairobi",No website available,https://www.openstreetmap.org/way/386595822
Golden Tulip Westlands Nairobi Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"65, Muthithi Road, Nairobi",No website available,https://www.openstreetmap.org/way/459762186
Crowne Plaza Nairobi Airport,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"First Freight Lane, Nairobi",https://www.ihg.com/crowneplaza/hotels/gb/en/nairobi/nboir/hoteldetail;https://www.ihg.com/crowneplaza/hotels/us/en/nairobi/nboir/hoteldetail,https://www.openstreetmap.org/way/464100054
Harkness Cottage & Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Mbagathi Ridge, Nairobi",No website available,https://www.openstreetmap.org/way/475767027
Clarence House Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/523784192
Muthaiga Golf Club,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Mua Park Road, Nairobi",No website available,https://www.openstreetmap.org/way/524758040
PrideInn Azure,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Lantana Road, Nairobi",No website available,https://www.openstreetmap.org/way/553077556
Westend Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Lower Kabete Road, Nairobi",No website available,https://www.openstreetmap.org/way/553218876
Mayweather Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Limuru Road, Kiambu",No website available,https://www.openstreetmap.org/way/553671348
Deka Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ngara Road, Nairobi",No website available,https://www.openstreetmap.org/way/554019639
Le Papillon,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/554659756
215 Karen Garden,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Farah Road, off Forest View Road, Karen, Nairobi",No website available,https://www.openstreetmap.org/way/555176461
Karen Gables,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/555186310
The Weston Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Langata Rd, Nairobi City",No website available,https://www.openstreetmap.org/way/557008941
Hillpark Hotels,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Lower Hill Rd, Nairobi",No website available,https://www.openstreetmap.org/way/557709563
Capital Heights Hotel Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Hospital Rd, Nairobi",No website available,https://www.openstreetmap.org/way/557709569
DoubleTree by Hilton Nairobi Hurlingham,Nairobi,Nairobi County,Kenya,"A hotel located in Nairobi, rated 4 stars.",Check website,"internet access, swimming pool",4-star,"Ngong Lane, Nairobi",https://www.hilton.com/en/hotels/nbohudi-doubletree-nairobi-hurlingham/,https://www.openstreetmap.org/way/557910694
Harlequin Suites Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Joseph Kang'ethe, Nairobi",No website available,https://www.openstreetmap.org/way/561265437
Lenox Park,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Wood Avenue, Nairobi",No website available,https://www.openstreetmap.org/way/561480218
Waridi Paradise Hotel and Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Off Argwings Kodhek,, Rose Avenue, Nairobi",No website available,https://www.openstreetmap.org/way/561510599
The Monarch Boutique Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Rose Avenue, Nairobi",https://themonarchboutiquehotel.com/,https://www.openstreetmap.org/way/561510609
Gracehouse Resort Ltd,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ring Road Kilimani, Nairobi",No website available,https://www.openstreetmap.org/way/561521484
O'Sinkirri,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ring Road Kilimani, Nairobi",No website available,https://www.openstreetmap.org/way/564750996
Four Points by Sheraton,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"9042/1044, Tower Avenue, Jomo Kenyatta International Airport, Nairobi",https://four-points.marriott.com/,https://www.openstreetmap.org/way/565698571
Mayhouse 680 Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,"Kenyatta Avenue, Nairobi",https://sentrim-hotels.com/,https://www.openstreetmap.org/way/566704071
Ibis Styles,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Rhapta Road, Nairobi",https://www.ibisstylesnairobi.com/,https://www.openstreetmap.org/way/570923751
Kenya Continetal Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Rhapta Road, Nairobi",No website available,https://www.openstreetmap.org/way/570923754
Hyatt House Nairobi Westlands,Nairobi,Nairobi County,Kenya,"A hotel located in Nairobi, rated 5 stars.",Check website,"internet access, air conditioning",5-star,"10, Lower Kabete Road, Nairobi",https://www.hyatt.com/hyatt-house/en-US/nboxn-hyatt-house-nairobi-westlands,https://www.openstreetmap.org/way/577399829
Tamarind Tree Hotel Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,"internet access, swimming pool, air conditioning",Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/612004607
Hartfield Hotel Karen,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Nandi Road, Nairobi",No website available,https://www.openstreetmap.org/way/655583159
Country House Inn-Karen,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ngong Road, Nairobi",No website available,https://www.openstreetmap.org/way/655583165
MashPark Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Joseph Kang'ethe, Nairobi",No website available,https://www.openstreetmap.org/way/659950851
Diplomat Villas,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Masanduku Lane, Nairobi",No website available,https://www.openstreetmap.org/way/659960321
Sports View Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Sports View Road, Nairobi",No website available,https://www.openstreetmap.org/way/667417184
Embassy,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Tubman Road, Nairobi",No website available,https://www.openstreetmap.org/way/697756756
NanChang Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"21, Westlands Road, Nairobi",No website available,https://www.openstreetmap.org/way/746482107
La Maison Royale,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/879516157
The Social House Nairobi,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"James Gichuru Road, Nairobi",No website available,https://www.openstreetmap.org/way/880926309
The Treat Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,Mirema,No website available,https://www.openstreetmap.org/way/882870400
Mirema Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,Mirema Drive,No website available,https://www.openstreetmap.org/way/883221674
"Radisson Blu Hotel & Residence, Nairobi Arboretum",Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/899339912
Western Heights,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/way/962161280
Sunstar Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Garden Estate Road, Nairobi",No website available,https://www.openstreetmap.org/way/1074721932
Lalibela Furnished Apartment,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Wood Avenue, Nairobi",No website available,https://www.openstreetmap.org/way/1088119378
Boulevard,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,"internet access, air conditioning",Unrated,+254 722 200 755,https://hotelboulevard.co.ke/,https://www.openstreetmap.org/way/1163033936
Pullman Nairobi Upper Hill,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Kenya Road, Upper Hill, Nairobi, Kenya Road, Nairobi",https://all.accor.com/,https://www.openstreetmap.org/way/1189984121
Hyatt Regency Nairobi Westlands,Nairobi,Nairobi County,Kenya,"A hotel located in Nairobi, rated 5 stars.",Check website,"internet access, air conditioning",5-star,"38, Muthithi Rd, Nairobi",https://www.hyatt.com/hyatt-regency/en-US/nborn-hyatt-regency-nairobi-westlands,https://www.openstreetmap.org/way/1190876726
Kigwa Conference,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Northern Bypass, Nairobi",No website available,https://www.openstreetmap.org/way/1288431254
Zarita Boutique,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,Nairobi,https://zaritahotel.com/,https://www.openstreetmap.org/way/1315228425
Classic Villa Resort,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,Lower Kabete Road,No website available,https://www.openstreetmap.org/way/1394472665
Fairview Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Bishop Road, Nairobi",No website available,https://www.openstreetmap.org/way/1421612046
Hyatt Place Nairobi Westlands,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,"internet access, air conditioning",Unrated,"10, Lower Kabete Road, Westlands, Nairobi",https://www.hyatt.com/hyatt-place/en-US/nbozn-hyatt-place-nairobi-westlands,https://www.openstreetmap.org/way/1430291842
Shanzu,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/44915428
Bridge View Safari Lodge,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Malindi Road, Mtwapa",No website available,https://www.openstreetmap.org/node/612947253
Sentido,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/612947261
Milele Beach Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Malindi Road, Mombasa",No website available,https://www.openstreetmap.org/node/612947269
Baobab Resort,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Baobab Road, Mombasa",No website available,https://www.openstreetmap.org/node/612947272
Travellers Beach Hotel,Mombasa,Mombasa County,Kenya,"A hotel located in Mombasa, rated 4 stars.",Check website,No amenities listed,4-star,"Malindi Road, Mombasa",https://www.travellersbeach.com/,https://www.openstreetmap.org/node/650338837
Bamburi Beach Hotel,Mombasa,Mombasa County,Kenya,"A hotel located in Mombasa, rated 4 stars.",Check website,No amenities listed,4-star,Mombasa,https://bamburibeachkenya.com/,https://www.openstreetmap.org/node/650743694
Paradise Apartments,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/930057010
Hotel Sapphire,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Mwembe Tayari Road, Mombasa",No website available,https://www.openstreetmap.org/node/1098521219
Sentrim Castle Royal Hotel,Mombasa,Mombasa County,Kenya,"A hotel located in Mombasa, rated 3 stars.",Check website,"internet access, air conditioning",3-star,"Moi Avenue, Mombasa",https://sentrimcastleroyalhotel.com-kenya.com/en/,https://www.openstreetmap.org/node/1315220527
New people hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Abdel Nasser Road, Mombasa",No website available,https://www.openstreetmap.org/node/1315220536
The Reef hotel,Mombasa,Mombasa County,Kenya,"A hotel located in Mombasa, rated 4 stars.",Check website,No amenities listed,4-star,"Mount Kenya Road, Mombasa",https://reefhotelkenya.com/,https://www.openstreetmap.org/node/1315895449
Makwetu Resorts,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Bungalows road, Mombasa",No website available,https://www.openstreetmap.org/node/2579930639
Prestige Apartments,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2579936505
Chamiachi Luxury Apartments,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/2580439821
Nyali Beach Holiday Resorts,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Bungalows Road, Mombasa",No website available,https://www.openstreetmap.org/node/2838620500
Premium Inn Hotel Mombasa,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Haile Selassie Road, Mombasa",https://www.premiuminn.co.ke/,https://www.openstreetmap.org/node/2913939424
SUHUFI PALACE HOTEL,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Abdel Nasser Road, Mombasa",No website available,https://www.openstreetmap.org/node/4104820592
Tuliahouse Backpackers,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4107691741
Mei Place Apartments,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4107691742
Sunrise Resort Apartments Spa,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4198534798
Manas,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/4538111567
Garden Grove Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5078229500
Jundan Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5320014923
Quale Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5636754624
Everfresh Vegetables;Hotel Dorse,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5826717986
check point,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5836825786
Sun Africa Hotels,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,internet access,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/5961396602
Bridge Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Ronald Ngala Road, Mombasa",No website available,https://www.openstreetmap.org/node/5989469164
Panaroma Gardens Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"koinage road, Mombasa",No website available,https://www.openstreetmap.org/node/5989578823
Stadium Holiday Inn,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Koinage Road, Mombasa",No website available,https://www.openstreetmap.org/node/5989589021
Mombasa Cage Inn Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Magongo road, Mombasa",No website available,https://www.openstreetmap.org/node/5997715901
Wogect Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Tom Mboya road, Mombasa",No website available,https://www.openstreetmap.org/node/6009880961
White Rhino Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Taratibu street, Mombasa",No website available,https://www.openstreetmap.org/node/6022143501
Port Tudor Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Tom Mboya road, Mombasa",No website available,https://www.openstreetmap.org/node/6024499631
Nyali International Beach And Spa,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Moyne Dr road, Mombasa",No website available,https://www.openstreetmap.org/node/6038633862
Sanana Conference Centre and Holiday Resort,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Beach Road, Mombasa",No website available,https://www.openstreetmap.org/node/6038681138
Kivulini Bahari,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Cement Road, Mombasa",No website available,https://www.openstreetmap.org/node/6038754577
CityBlue Creekside Hotel & Suites,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Ras Kisauni Road, Mombasa",No website available,https://www.openstreetmap.org/node/6039167981
Afro Estate,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Old Malindi Road, Mombasa",No website available,https://www.openstreetmap.org/node/6041682425
Hotel Kumbe,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Malindi Road, Mtwapa",No website available,https://www.openstreetmap.org/node/6043870123
Hotel Basilea,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Malindi Road, Mtwapa",No website available,https://www.openstreetmap.org/node/6043870129
The Monalisa Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Daisha Road, Mtwapa",No website available,https://www.openstreetmap.org/node/6043920488
New Country Garden Bar & Restaurant,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Malindi Road, Mtwapa",No website available,https://www.openstreetmap.org/node/6043920489
Bibla Fruit Parlour,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Narok road, Mombasa",No website available,https://www.openstreetmap.org/node/6045669279
Hotel Radiance,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Mombasa road, Mombasa",No website available,https://www.openstreetmap.org/node/6045669282
California Dream Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Moi Avenue, Mombasa",No website available,https://www.openstreetmap.org/node/6048586673
Bandari Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Sauti ya Kenya Road, Mombasa",No website available,https://www.openstreetmap.org/node/6048586678
Blue Comforts,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Archbishop Makarios Road, Mombasa",No website available,https://www.openstreetmap.org/node/6048586680
Ganjoni Wananchi Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Archbishop Makarios Road, Mombasa",No website available,https://www.openstreetmap.org/node/6048586683
Three Coins Bar & Resturant,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Archbishop Makarios Road, Mombasa",No website available,https://www.openstreetmap.org/node/6048860121
Manson Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Kisumu Road, Mombasa",No website available,https://www.openstreetmap.org/node/6054270092
Windsor,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Kamunde Road, Mombasa",No website available,https://www.openstreetmap.org/node/6054293177
Recoda Restaurant,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Moi Avenue, Mombasa",No website available,https://www.openstreetmap.org/node/6054335991
Mapembeni Global Dishes Cafe,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Moi Avenue, Mombasa",No website available,https://www.openstreetmap.org/node/6054368637
Royal Court Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Haile Selassie Road, Mombasa",No website available,https://www.openstreetmap.org/node/6054412128
Josleejim Hotel Ltd,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Duruma road, Mombasa",No website available,https://www.openstreetmap.org/node/6054412132
New Daba City Guest House,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Mwembe Tayari Road, Mombasa",No website available,https://www.openstreetmap.org/node/6054455936
Gulshan Restaurant,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Mombasa road, Mombasa",No website available,https://www.openstreetmap.org/node/6054467725
Ichaweri Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Tana Street, Mombasa",No website available,https://www.openstreetmap.org/node/6054558197
Jambo Paradise Hotel - Mombasa,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Tana Street, Mombasa",No website available,https://www.openstreetmap.org/node/6054561497
Marathon Lodge,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Kipchoge Keino Street, Mombasa",No website available,https://www.openstreetmap.org/node/6054853670
Tijara Beach,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Likoni-Ukunda, Pungu",No website available,https://www.openstreetmap.org/node/6063583727
Likoni Happy Gardens,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Shelly Beach Road, Mombasa",No website available,https://www.openstreetmap.org/node/6065797004
Qwetu Beach Resort,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Shelly Beach Road, Mombasa",No website available,https://www.openstreetmap.org/node/6065849573
Ujamaa One Bar & Restaurant,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Likoni-Ukunda Road, Mombasa",No website available,https://www.openstreetmap.org/node/6072761406
Likoni Super Sports Club & Restaurant,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Likoni-Ukunda Road, Mombasa",No website available,https://www.openstreetmap.org/node/6072761407
Comrade Restaurant & Juice Parlour,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Likoni-Ukunda Road, Mombasa",No website available,https://www.openstreetmap.org/node/6072960940
Coastgate Hotel. Miritni,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Mombasa Road, Mombasa",No website available,https://www.openstreetmap.org/node/6235829875
White Castle Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Mombasa Road, Mombasa",No website available,https://www.openstreetmap.org/node/6235830605
Shiloh guest house and restaurant,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Mombasa road, Mombasa",No website available,https://www.openstreetmap.org/node/6235830608
Al-Yusra Palm Tree Hotel,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Nkrumah Road, Mombasa",https://palmtreehotel.co.ke/,https://www.openstreetmap.org/node/6577218885
Shanzu Paradise,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Malindi Road, Mombasa",No website available,https://www.openstreetmap.org/node/6799470759
Pundamilia Paradise,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,"Malindi Road, Mombasa",No website available,https://www.openstreetmap.org/node/6799470760
Pawenzi,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,Mombasa,No website available,https://www.openstreetmap.org/node/6799470762
Sunset Paradise Holiday,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,Mombasa,No website available,https://www.openstreetmap.org/node/6799470769
Platinum House,Mombasa,Mombasa County,Kenya,A hotel located in Mombasa.,Check website,No amenities listed,Unrated,Mombasa,No website available,https://www.openstreetmap.org/node/6799470771
